Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1
1,2.722638278,0.250263453,0.250263453,0.24582384,2.005480229,0.389872816,0.389872816,0.375255202
2,1.779290187,0.453683244,0.453683244,0.450336669,1.6263243,0.513728753,0.513728753,0.510344966
3,1.447814631,0.555937043,0.555937043,0.554474954,1.595093547,0.51753239,0.51753239,0.534307586
4,1.235795292,0.618009994,0.618009994,0.61783852,1.267244692,0.602995364,0.602995364,0.607891218
5,1.072161692,0.671312506,0.671312506,0.671188695,1.047510571,0.674313562,0.674313562,0.670506062
6,0.947022212,0.712105245,0.712105245,0.712267942,0.941155781,0.704980387,0.704980387,0.712760134
7,0.846402984,0.741679981,0.741679981,0.742102724,0.768510403,0.763342446,0.763342446,0.762956988
8,0.76879261,0.761226502,0.761226502,0.761614386,0.811717028,0.745275169,0.745275169,0.748025949
9,0.694159351,0.784376381,0.784376381,0.784702944,0.644389794,0.797694045,0.797694045,0.798546787
10,0.632013594,0.804160859,0.804160859,0.804568176,0.654750497,0.800190182,0.800190182,0.802612361
11,0.580809799,0.818438318,0.818438318,0.818797566,0.580993661,0.820634732,0.820634732,0.821559856
12,0.537012701,0.835333311,0.835333311,0.835727862,0.527403314,0.840009509,0.840009509,0.839996567
13,0.499498156,0.844477683,0.844477683,0.844678873,0.459982852,0.861523832,0.861523832,0.862285841
14,0.463085417,0.856239589,0.856239589,0.856544964,0.468063976,0.851895875,0.851895875,0.853206982
15,0.432217819,0.861644627,0.861644627,0.861915977,0.410263241,0.875430881,0.875430881,0.876754874
16,0.400361812,0.874086413,0.874086413,0.874176711,0.487212639,0.839534054,0.839534054,0.840974691
17,0.375196689,0.880511269,0.880511269,0.880657854,0.429393522,0.864614287,0.864614287,0.863851734
18,0.356542093,0.886732162,0.886732162,0.886852217,0.348986884,0.889100202,0.889100202,0.88852043
19,0.336145628,0.893768909,0.893768909,0.893922725,0.420639709,0.866159515,0.866159515,0.866415099
20,0.312126948,0.901077608,0.901077608,0.90121301,0.274505028,0.916082254,0.916082254,0.916432546
21,0.292605751,0.908046368,0.908046368,0.908161968,0.269628188,0.914061571,0.914061571,0.914208854
22,0.28718349,0.907706428,0.907706428,0.907794483,0.41494738,0.864614287,0.864614287,0.868739926
23,0.264707677,0.915389061,0.915389061,0.915525999,0.246577815,0.923332937,0.923332937,0.924277757
24,0.253461029,0.919128395,0.919128395,0.919176083,0.257905573,0.917746345,0.917746345,0.917850149
25,0.245625942,0.923105687,0.923105687,0.923126961,0.37484075,0.882443837,0.882443837,0.887366279
26,0.223857278,0.927150967,0.927150967,0.927200483,0.273566749,0.915012481,0.915012481,0.914577102
27,0.219228232,0.930720332,0.930720332,0.930786083,0.209867035,0.934981576,0.934981576,0.935890359
28,0.209404041,0.932046096,0.932046096,0.932097799,0.258862137,0.917033163,0.917033163,0.917567393
29,0.198278352,0.936601285,0.936601285,0.936654281,0.251698003,0.917033163,0.917033163,0.917763565
30,0.190733352,0.938810892,0.938810892,0.938810983,0.158276705,0.950196125,0.950196125,0.950084968
31,0.187274227,0.938946867,0.938946867,0.93897662,0.171045874,0.949245216,0.949245216,0.949195812
32,0.179864135,0.942448244,0.942448244,0.942503459,0.16611124,0.948888625,0.948888625,0.949049196
33,0.166238138,0.94516776,0.94516776,0.945163125,0.192407637,0.94223226,0.94223226,0.942337473
34,0.159998663,0.946731482,0.946731482,0.946737425,0.168683242,0.946867942,0.946867942,0.947157379
35,0.157917718,0.947581331,0.947581331,0.947594141,0.233342415,0.924164983,0.924164983,0.926180016
36,0.154753012,0.948397185,0.948397185,0.948406583,0.147924863,0.958278854,0.958278854,0.958273207
37,0.151535172,0.951388653,0.951388653,0.951404615,0.161677478,0.951860216,0.951860216,0.952266269
38,0.141890479,0.953054356,0.953054356,0.953069366,0.123833164,0.960537264,0.960537264,0.960602936
39,0.135800119,0.955161981,0.955161981,0.955164314,0.164060999,0.945560442,0.945560442,0.946008762
40,0.131214352,0.957031648,0.957031648,0.957040064,0.159468633,0.950790443,0.950790443,0.951220552
41,0.130600627,0.955467927,0.955467927,0.955478281,0.204073719,0.934862712,0.934862712,0.935019556
42,0.124347778,0.959547201,0.959547201,0.959555756,0.140945111,0.955901581,0.955901581,0.955889165
43,0.122171555,0.959751164,0.959751164,0.959757163,0.378241506,0.899797932,0.899797932,0.900150339
44,0.115983036,0.96134888,0.96134888,0.961353282,0.112214688,0.968619993,0.968619993,0.968785915
45,0.109866763,0.963048577,0.963048577,0.963052728,0.110578173,0.96624272,0.96624272,0.966262906
46,0.11189863,0.963864432,0.963864432,0.963858463,0.128508915,0.961012718,0.961012718,0.960992336
47,0.107802615,0.963354523,0.963354523,0.963366441,0.259972157,0.921906573,0.921906573,0.924980046
48,0.0986344,0.966951933,0.966951933,0.966951538,0.185660359,0.945991323,0.945991323,0.946758577
49,0.094048133,0.968406974,0.968406974,0.968405357,0.186531843,0.945979087,0.945979087,0.946780351
50,0.089461865,0.969862015,0.969862015,0.969859176,0.187403327,0.945966851,0.945966851,0.946802124
