Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1
1,2.517783825,0.245198355,0.245198355,0.241292146,2.142647065,0.349102579,0.349102579,0.345075432
2,2.013805039,0.386919128,0.386919128,0.383125264,1.841502198,0.445144419,0.445144419,0.437400934
3,1.816464621,0.448074243,0.448074243,0.445578113,1.766353468,0.462855105,0.462855105,0.444520238
4,1.679880105,0.492028419,0.492028419,0.490318653,1.602741347,0.521217164,0.521217164,0.516266651
5,1.577105932,0.521229221,0.521229221,0.520121917,1.507619572,0.549387852,0.549387852,0.542749956
6,1.482181758,0.550565999,0.550565999,0.549749103,1.408747556,0.573041721,0.573041721,0.565245308
7,1.398641489,0.575143624,0.575143624,0.574302563,1.451872129,0.563294901,0.563294901,0.561693256
8,1.330124744,0.593194411,0.593194411,0.592306099,1.228798667,0.628313325,0.628313325,0.629919099
9,1.262394644,0.616344291,0.616344291,0.616086172,1.282411163,0.612147866,0.612147866,0.610995836
10,1.206411186,0.63544889,0.63544889,0.635425795,1.11386336,0.664804469,0.664804469,0.662827789
11,1.147760721,0.651018119,0.651018119,0.650994391,1.105742542,0.663021514,0.663021514,0.662561347
12,1.102378007,0.665397559,0.665397559,0.665453144,1.024071161,0.690716748,0.690716748,0.689375612
13,1.054611279,0.680286909,0.680286909,0.680398246,1.038173469,0.689528111,0.689528111,0.691568477
14,1.007800967,0.693238604,0.693238604,0.693602177,1.002743999,0.696897658,0.696897658,0.698619049
15,0.970122311,0.706700207,0.706700207,0.707021394,0.892842332,0.728277666,0.728277666,0.727672214
16,0.932849884,0.719617908,0.719617908,0.719974866,0.896803791,0.728039938,0.728039938,0.726966963
17,0.885576701,0.729442159,0.729442159,0.729786142,0.848804216,0.741828123,0.741828123,0.739474545
18,0.857467977,0.742155896,0.742155896,0.742607911,0.874694358,0.737905622,0.737905622,0.735282887
19,0.836295381,0.741781963,0.741781963,0.742039838,0.791931747,0.759657673,0.759657673,0.766131323
20,0.805655281,0.755073597,0.755073597,0.7553827,0.766768407,0.766908356,0.766908356,0.76794882
21,0.781591936,0.760172689,0.760172689,0.7605403,0.752935498,0.77059313,0.77059313,0.770380152
22,0.755106677,0.769011116,0.769011116,0.76923357,0.808112182,0.756448354,0.756448354,0.757293526
23,0.722458262,0.777713567,0.777713567,0.778075999,0.714454753,0.781171996,0.781171996,0.781355911
24,0.715042567,0.778767379,0.778767379,0.779098376,0.738675588,0.774991085,0.774991085,0.776350889
25,0.686387484,0.79039331,0.79039331,0.790624642,0.687853266,0.793414953,0.793414953,0.792206746
26,0.663249867,0.797769997,0.797769997,0.798123279,0.649618175,0.79365268,0.79365268,0.796488396
27,0.645820829,0.800557501,0.800557501,0.800816711,0.667709601,0.794009271,0.794009271,0.795363664
28,0.629514169,0.80382092,0.80382092,0.804125833,0.630271613,0.808986093,0.808986093,0.811111296
29,0.604774313,0.812761328,0.812761328,0.813034493,0.56444092,0.833472008,0.833472008,0.834938595
30,0.588574591,0.819186185,0.819186185,0.819548168,0.607590572,0.816593367,0.816593367,0.819665624
31,0.579836569,0.821191828,0.821191828,0.821526465,0.56888597,0.823368596,0.823368596,0.82312245
32,0.562925954,0.827378727,0.827378727,0.827600003,0.513458232,0.845001783,0.845001783,0.846160594
33,0.543098745,0.829894279,0.829894279,0.83028931,0.574677473,0.828836325,0.828836325,0.828291451
34,0.531051498,0.836115171,0.836115171,0.836338742,0.510982517,0.848448829,0.848448829,0.84802485
35,0.514227526,0.842540028,0.842540028,0.842877627,0.55387578,0.835136099,0.835136099,0.836995402
