Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1
1,2.696665225,0.185267022,0.185267022,0.179151917,2.421198233,0.264947106,0.264947106,0.242514146
2,2.248630523,0.318047388,0.318047388,0.313405677,2.167443525,0.325092119,0.325092119,0.318284753
3,1.988740892,0.395417616,0.395417616,0.392160912,2.068103575,0.363485083,0.363485083,0.354030055
4,1.808431353,0.447836285,0.447836285,0.445659345,1.819281925,0.443718055,0.443718055,0.432539363
5,1.680434004,0.48859503,0.48859503,0.486755675,1.743387483,0.469392607,0.469392607,0.475101581
6,1.58398372,0.51769385,0.51769385,0.516461066,1.986687389,0.404136455,0.404136455,0.40191679
7,1.509698106,0.538940069,0.538940069,0.538160533,1.984259965,0.40330441,0.40330441,0.423591078
8,1.434552129,0.55814665,0.55814665,0.557472755,1.603177092,0.517770118,0.517770118,0.52087047
9,1.380359456,0.57708128,0.57708128,0.576872804,1.405244517,0.564126946,0.564126946,0.557453363
10,1.32245934,0.598667437,0.598667437,0.598429765,1.353325984,0.587186497,0.587186497,0.581514908
11,1.267157924,0.612842914,0.612842914,0.612558774,1.350360689,0.590871271,0.590871271,0.59275114
12,1.232139221,0.622905123,0.622905123,0.623022939,1.342110867,0.58694877,0.58694877,0.593777716
13,1.184596028,0.637998436,0.637998436,0.638100434,1.312543013,0.592059907,0.592059907,0.597062905
14,1.140639422,0.65050821,0.65050821,0.650643683,1.204571244,0.626649233,0.626649233,0.62879151
15,1.104498972,0.662983989,0.662983989,0.663223188,1.182489909,0.634850826,0.634850826,0.637719808
16,1.073254508,0.670462658,0.670462658,0.670525202,1.140231479,0.647688102,0.647688102,0.656819309
17,1.036090398,0.682428528,0.682428528,0.682679254,1.202685676,0.629739689,0.629739689,0.631967371
18,1.007089241,0.689397287,0.689397287,0.689697757,1.030627043,0.683822655,0.683822655,0.691100292
19,0.976329417,0.69966346,0.69966346,0.700013288,1.524189428,0.543682396,0.543682396,0.560286348
20,0.953706197,0.707040147,0.707040147,0.707383288,1.214466267,0.624153096,0.624153096,0.638958951
21,0.925583038,0.716898392,0.716898392,0.717040571,1.088843317,0.662427196,0.662427196,0.657668316
22,0.903585434,0.722541388,0.722541388,0.722840722,0.92888856,0.711161298,0.711161298,0.718539141
23,0.878785606,0.731141857,0.731141857,0.731271365,0.94403556,0.715559254,0.715559254,0.714940986
24,0.855113421,0.7353911,0.7353911,0.735665033,1.027152499,0.684416974,0.684416974,0.685612369
25,0.835092545,0.740660162,0.740660162,0.740894275,1.060051428,0.680137882,0.680137882,0.70377785
26,0.812395376,0.749770541,0.749770541,0.750052507,0.917976768,0.712349935,0.712349935,0.713726125
27,0.799597188,0.753985791,0.753985791,0.754191717,0.80246901,0.748127897,0.748127897,0.751634924
28,0.773701615,0.762008363,0.762008363,0.762482273,1.188536614,0.646380601,0.646380601,0.658232295
29,0.75922142,0.762858211,0.762858211,0.763247981,0.782122123,0.757874718,0.757874718,0.759730334
30,0.734305011,0.772614475,0.772614475,0.772924649,0.929242487,0.714846072,0.714846072,0.71363604
31,0.721712492,0.775809906,0.775809906,0.775973789,0.673351831,0.797931772,0.797931772,0.799610713
32,0.70168627,0.780535065,0.780535065,0.780846146,0.877264138,0.719719482,0.719719482,0.722370727
33,0.68855893,0.784682327,0.784682327,0.784976651,0.737669212,0.768929038,0.768929038,0.775855192
34,0.675193263,0.790699256,0.790699256,0.790946278,0.86492899,0.731249257,0.731249257,0.742361518
