Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1
1,2.363205687,0.286772954,0.286772954,0.282470279,1.845370831,0.444787828,0.444787828,0.444115457
2,1.728597109,0.471054152,0.471054152,0.468591155,1.514217107,0.541780578,0.541780578,0.541640761
3,1.460507202,0.553863412,0.553863412,0.552996635,1.292263658,0.605848092,0.605848092,0.600593022
4,1.282630275,0.603868511,0.603868511,0.603760463,1.222316815,0.615119458,0.615119458,0.60950382
5,1.161853656,0.642145698,0.642145698,0.642380483,1.060109504,0.674789017,0.674789017,0.678101501
6,1.05124632,0.673760071,0.673760071,0.674223273,0.917697389,0.720076073,0.720076073,0.721039471
7,0.977594739,0.697147908,0.697147908,0.697457344,0.899734582,0.722691073,0.722691073,0.724061945
8,0.903596887,0.718564096,0.718564096,0.718998314,0.823195931,0.74206585,0.74206585,0.743063173
9,0.843631241,0.736546895,0.736546895,0.736913768,0.794886924,0.752882444,0.752882444,0.752389887
10,0.80140213,0.749804535,0.749804535,0.750218649,0.723298901,0.772851539,0.772851539,0.771321122
11,0.754390962,0.76336812,0.76336812,0.763691946,0.673305404,0.7981695,0.7981695,0.799469675
12,0.70449444,0.781044974,0.781044974,0.781440246,0.633995099,0.810293593,0.810293593,0.809627477
13,0.67542421,0.788251691,0.788251691,0.788767999,0.64839356,0.801973137,0.801973137,0.803752438
14,0.643986012,0.800931434,0.800931434,0.801391584,0.6049547,0.812908594,0.812908594,0.812653306
15,0.615234968,0.807458272,0.807458272,0.807847859,0.589462719,0.819208368,0.819208368,0.822093499
16,0.582113055,0.817690451,0.817690451,0.817993052,0.565605757,0.823130869,0.823130869,0.825019041
17,0.561724775,0.825950981,0.825950981,0.826344955,0.518002181,0.837513372,0.837513372,0.838281121
18,0.538342254,0.830608152,0.830608152,0.831006387,0.482008478,0.851301557,0.851301557,0.852231174
19,0.509386651,0.839242615,0.839242615,0.839525613,0.485556027,0.84880542,0.84880542,0.849338359
20,0.489622354,0.846143386,0.846143386,0.846429783,0.457442766,0.858076786,0.858076786,0.858242877
21,0.461154567,0.854879831,0.854879831,0.855167588,0.427937798,0.868299061,0.868299061,0.86766382
22,0.468781363,0.85185437,0.85185437,0.852197127,0.456328543,0.854392012,0.854392012,0.856581654
23,0.431068426,0.864058198,0.864058198,0.864331855,0.393430628,0.87412338,0.87412338,0.87434098
24,0.415995355,0.871400891,0.871400891,0.871570316,0.392647509,0.875787472,0.875787472,0.876106891
25,0.402337446,0.87320257,0.87320257,0.87346394,0.397521995,0.872934744,0.872934744,0.873507186
26,0.397220022,0.874528334,0.874528334,0.874768714,0.376898638,0.881136337,0.881136337,0.881430933
27,0.373515719,0.882516912,0.882516912,0.88266028,0.361266834,0.88969452,0.88969452,0.889375476
28,0.36014491,0.885542373,0.885542373,0.88573668,0.408458345,0.867823606,0.867823606,0.865280311
29,0.354343135,0.887548016,0.887548016,0.887622182,0.304891938,0.905859979,0.905859979,0.90618144
30,0.338357454,0.891491315,0.891491315,0.891634706,0.307956654,0.903126114,0.903126114,0.903526868
