Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1
1,2.691059421,0.19342557,0.19342557,0.188499548,2.35728923,0.289789611,0.289789611,0.275194527
2,2.225642549,0.331033076,0.331033076,0.326119903,2.041666244,0.38285986,0.38285986,0.373215578
3,1.916098473,0.427813849,0.427813849,0.424039203,1.696591326,0.495542613,0.495542613,0.494280394
4,1.675123526,0.499915015,0.499915015,0.49746681,1.520838924,0.542256032,0.542256032,0.535501775
5,1.493414846,0.552401673,0.552401673,0.551191163,1.354325536,0.592535362,0.592535362,0.586686005
6,1.352731332,0.597681613,0.597681613,0.596749651,1.264211986,0.626768097,0.626768097,0.630333761
7,1.227435175,0.633375259,0.633375259,0.633270149,1.088665138,0.674432426,0.674432426,0.67565883
8,1.128656367,0.661420267,0.661420267,0.661385426,1.066792285,0.677760609,0.677760609,0.675158035
9,1.041455352,0.688275487,0.688275487,0.688445427,0.965846761,0.714251753,0.714251753,0.714451852
10,0.97225739,0.704864534,0.704864534,0.705135451,0.898697419,0.728396529,0.728396529,0.727937807
11,0.900800425,0.729884081,0.729884081,0.730069455,0.883928923,0.72744562,0.72744562,0.729499759
12,0.860666354,0.74123806,0.74123806,0.741459435,0.768517289,0.767740402,0.767740402,0.76750437
13,0.79997001,0.759322841,0.759322841,0.759714706,0.74498463,0.775823131,0.775823131,0.776614912
14,0.750253982,0.768773158,0.768773158,0.769137949,0.706110951,0.787352906,0.787352906,0.787796262
15,0.727352109,0.780637047,0.780637047,0.781000278,0.678103314,0.793890408,0.793890408,0.793606484
16,0.687621553,0.790359316,0.790359316,0.790756948,0.664053974,0.801141091,0.801141091,0.802323234
17,0.653562236,0.799911616,0.799911616,0.800249912,0.603838222,0.817068822,0.817068822,0.816507748
18,0.628272293,0.809429921,0.809429921,0.809796431,0.603983896,0.820159277,0.820159277,0.821979433
19,0.608844222,0.816942584,0.816942584,0.817210408,0.556265184,0.828479734,0.828479734,0.827790593
20,0.585739428,0.820851888,0.820851888,0.821149561,0.539733399,0.837156781,0.837156781,0.837340535
21,0.554730032,0.829112418,0.829112418,0.829390248,0.528827892,0.846071556,0.846071556,0.846644877
22,0.525424368,0.837814869,0.837814869,0.838075303,0.559793224,0.83323428,0.83323428,0.833858005
23,0.517123879,0.841282252,0.841282252,0.84156049,0.511044204,0.849043148,0.849043148,0.849176983
24,0.501483045,0.845633477,0.845633477,0.845876524,0.480530429,0.854154285,0.854154285,0.855330729
25,0.47659319,0.852534249,0.852534249,0.852780208,0.476196355,0.85950315,0.85950315,0.860830189
26,0.471279675,0.850800558,0.850800558,0.851043279,0.520959927,0.845952692,0.845952692,0.845775176
27,0.460438545,0.855355747,0.855355747,0.855659639,0.469919086,0.857839059,0.857839059,0.857968134
28,0.436758322,0.863310331,0.863310331,0.863561903,0.446895856,0.864614287,0.864614287,0.865387616
29,0.430661181,0.866607744,0.866607744,0.866814466,0.435841808,0.867110424,0.867110424,0.867813436
30,0.415956569,0.872046776,0.872046776,0.872129089,0.458887818,0.855699513,0.855699513,0.856610204
