Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1
1,2.758965385,0.161063331,0.161063331,0.154318114,2.453901768,0.257339831,0.257339831,0.231723038
2,2.193270676,0.338545739,0.338545739,0.335418163,1.920172326,0.417092595,0.417092595,0.41352205
3,1.826477076,0.448516164,0.448516164,0.446634858,1.615122625,0.514204208,0.514204208,0.51845062
4,1.560400857,0.530509569,0.530509569,0.529987708,1.399824685,0.572447403,0.572447403,0.57531991
5,1.380934133,0.581262535,0.581262535,0.581264191,1.262790912,0.615476049,0.615476049,0.613797537
6,1.234761212,0.624910766,0.624910766,0.625045394,1.083087685,0.668489243,0.668489243,0.670531207
7,1.13217977,0.657171024,0.657171024,0.657737133,1.014861946,0.68560561,0.68560561,0.687221162
8,1.027817104,0.692286773,0.692286773,0.692847147,0.943870276,0.709021752,0.709021752,0.709121314
9,0.951564352,0.711425366,0.711425366,0.712072866,0.922854283,0.715796981,0.715796981,0.719581293
10,0.877392159,0.731379814,0.731379814,0.732034681,0.884145776,0.731605848,0.731605848,0.732973163
11,0.817078988,0.750246456,0.750246456,0.75066135,0.7507564,0.768096993,0.768096993,0.768515795
12,0.764955414,0.765135806,0.765135806,0.765762324,0.665178517,0.791988589,0.791988589,0.791766861
13,0.709464897,0.780093143,0.780093143,0.780615821,0.678256083,0.79103768,0.79103768,0.791646879
14,0.677950691,0.79056328,0.79056328,0.791054743,0.60728974,0.814810412,0.814810412,0.815334385
15,0.633417526,0.806506442,0.806506442,0.806930702,0.55751374,0.827172233,0.827172233,0.828185973
16,0.591125001,0.816704627,0.816704627,0.817151219,0.549910028,0.831332462,0.831332462,0.832518679
17,0.554793368,0.828704491,0.828704491,0.829057824,0.523226492,0.838464281,0.838464281,0.840419767
18,0.536909277,0.833701601,0.833701601,0.834010751,0.458032419,0.856650422,0.856650422,0.857316543
19,0.497913399,0.844715641,0.844715641,0.84511972,0.493821168,0.845596101,0.845596101,0.845821534
20,0.47372256,0.854029983,0.854029983,0.85437018,0.468027768,0.853559967,0.853559967,0.854654411
21,0.449554373,0.858041269,0.858041269,0.858311076,0.40797131,0.871270653,0.871270653,0.872405264
22,0.42808958,0.865689907,0.865689907,0.866038722,0.444952699,0.868536788,0.868536788,0.868265307
23,0.405917205,0.871808818,0.871808818,0.872013357,0.395108589,0.877213836,0.877213836,0.878265992
24,0.390798047,0.876703947,0.876703947,0.876919203,0.375309739,0.884583383,0.884583383,0.885052249
25,0.377419812,0.882618894,0.882618894,0.882843638,0.353761725,0.890526566,0.890526566,0.890458826
26,0.360800377,0.885644355,0.885644355,0.885828336,0.359919073,0.888624747,0.888624747,0.888418999
27,0.342022744,0.891321345,0.891321345,0.891506577,0.32652682,0.899203613,0.899203613,0.899769715
28,0.320339922,0.898528062,0.898528062,0.898684737,0.318137953,0.900867705,0.900867705,0.901664686
29,0.310203884,0.89988782,0.89988782,0.900013414,0.294761731,0.911208843,0.911208843,0.911878861
30,0.302533065,0.904443009,0.904443009,0.904544461,0.27287332,0.915369072,0.915369072,0.915393401
31,0.28447646,0.909984023,0.909984023,0.91002667,0.298177417,0.91013907,0.91013907,0.910807417
32,0.283681732,0.907536459,0.907536459,0.907653437,0.289571859,0.912991798,0.912991798,0.912886013
33,0.266688035,0.91443723,0.91443723,0.914522847,0.300384905,0.910020207,0.910020207,0.91015527
34,0.262812999,0.916544855,0.916544855,0.916627232,0.250503684,0.924759301,0.924759301,0.924395907
35,0.246704589,0.919910256,0.919910256,0.920030698,0.258452365,0.920480209,0.920480209,0.920584709
36,0.247109152,0.920862087,0.920862087,0.92088274,0.270172122,0.914180435,0.914180435,0.914520356
37,0.239937148,0.925315294,0.925315294,0.925424367,0.230675371,0.931772257,0.931772257,0.931573949
38,0.229223358,0.927524901,0.927524901,0.927605514,0.21109521,0.934268394,0.934268394,0.934158656
39,0.216373265,0.929700513,0.929700513,0.929737658,0.215169592,0.936289076,0.936289076,0.9364058
40,0.215532737,0.930958289,0.930958289,0.931008954,0.223322686,0.935813622,0.935813622,0.936153803
41,0.205059988,0.935275521,0.935275521,0.935311256,0.18218924,0.946035897,0.946035897,0.946167285
42,0.20129783,0.934935581,0.934935581,0.934974036,0.200387611,0.937953168,0.937953168,0.937958767
43,0.192148997,0.939796716,0.939796716,0.939827304,0.227450904,0.932366576,0.932366576,0.933217612
44,0.194328524,0.937893055,0.937893055,0.937942202,0.202386017,0.93640794,0.93640794,0.936943962
45,0.182271211,0.941700377,0.941700377,0.941708157,0.21107154,0.938190895,0.938190895,0.938592652
46,0.17606262,0.942924159,0.942924159,0.942949986,0.222748485,0.93510044,0.93510044,0.935806668
47,0.173893767,0.944657851,0.944657851,0.944700593,0.200242188,0.936883395,0.936883395,0.936841226
48,0.170711402,0.944555869,0.944555869,0.944607228,0.179486833,0.945084988,0.945084988,0.945346052
49,0.166768569,0.945779651,0.945779651,0.945797437,0.190336269,0.941519078,0.941519078,0.941625839
50,0.166368628,0.946663494,0.946663494,0.946690013,0.16020786,0.95423749,0.95423749,0.954155164
