Epoch,Train Loss,Train Accuracy,Train Micro F1,Train Macro F1,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1
1,2.701057705,0.189108339,0.189108339,0.187467271,2.542606168,0.271365743,0.271365743,0.261445306
2,2.13446378,0.34853996,0.34853996,0.34531162,2.286313393,0.402115773,0.402115773,0.390545901
3,1.860068566,0.43393276,0.43393276,0.431503275,1.937986677,0.448353738,0.448353738,0.439879161
4,1.694482036,0.487371248,0.487371248,0.485898684,1.903678217,0.519553073,0.519553073,0.517765353
5,1.534226863,0.534690825,0.534690825,0.534278005,1.67182027,0.547842625,0.547842625,0.544737843
6,1.386417633,0.581092566,0.581092566,0.580864041,1.420077225,0.587305361,0.587305361,0.587086954
7,1.263744385,0.623245062,0.623245062,0.623165067,1.529681139,0.585641269,0.585641269,0.588586741
8,1.158532579,0.649352415,0.649352415,0.649711854,1.264718891,0.656959467,0.656959467,0.660748733
9,1.070229536,0.675221811,0.675221811,0.675639675,1.376672573,0.670391061,0.670391061,0.671129271
10,0.987352202,0.699629466,0.699629466,0.700286751,1.353824853,0.716153572,0.716153572,0.717774721
11,0.916517636,0.721351599,0.721351599,0.72242745,1.529848345,0.722334482,0.722334482,0.724147946
12,0.855751208,0.741476017,0.741476017,0.74233985,0.982533825,0.763817901,0.763817901,0.767334593
13,0.79556522,0.75724921,0.75724921,0.758193014,1.033793478,0.773089267,0.773089267,0.776140568
14,0.749206729,0.770370874,0.770370874,0.771080032,1.132118303,0.782954951,0.782954951,0.783379564
15,0.708879739,0.784546351,0.784546351,0.785072211,0.8391119,0.794484726,0.794484726,0.795247281
16,0.654907872,0.79814393,0.79814393,0.798859698,0.892013311,0.808154047,0.808154047,0.809573483
17,0.622971896,0.808478091,0.808478091,0.80907955,0.94915184,0.81278973,0.81278973,0.812647675
18,0.584740516,0.819866064,0.819866064,0.820535348,0.817888525,0.823368596,0.823368596,0.824227539
19,0.566043069,0.82904443,0.82904443,0.829401276,0.838837806,0.833353144,0.833353144,0.832792923
20,0.531682861,0.83584322,0.83584322,0.836254745,0.854670914,0.845477238,0.845477238,0.845581448
21,0.504196915,0.846143386,0.846143386,0.846557412,0.8601339,0.852252466,0.852252466,0.854845948
22,0.480811792,0.852160315,0.852160315,0.852512974,0.949042646,0.85950315,0.85950315,0.859222816
23,0.467638035,0.853656049,0.853656049,0.854021942,0.72641744,0.85367883,0.85367883,0.854522492
24,0.444023157,0.864262161,0.864262161,0.864622471,1.073911573,0.857125877,0.857125877,0.857744267
25,0.425619053,0.867763538,0.867763538,0.867954338,0.763312408,0.870795198,0.870795198,0.870591386
26,0.401501573,0.875378183,0.875378183,0.87563052,0.565847527,0.880304291,0.880304291,0.880949165
27,0.388358368,0.879423463,0.879423463,0.879599821,0.903152446,0.874004517,0.874004517,0.874337152
28,0.375752969,0.884386579,0.884386579,0.884561112,0.891758345,0.889219066,0.889219066,0.888934563
29,0.357678077,0.889757623,0.889757623,0.889941081,1.093359269,0.879234518,0.879234518,0.87975193
30,0.345498513,0.89162729,0.89162729,0.891844913,0.843083004,0.892309521,0.892309521,0.893234456
31,0.332122909,0.897202298,0.897202298,0.897308511,0.929061609,0.891834066,0.891834066,0.892649202
32,0.324460545,0.897270286,0.897270286,0.897455286,0.560888541,0.902531796,0.902531796,0.902618386
33,0.305692277,0.903389197,0.903389197,0.903549812,0.622477385,0.905978842,0.905978842,0.906846814
34,0.297620714,0.907910392,0.907910392,0.908077816,0.609587793,0.905503388,0.905503388,0.905929911
35,0.290309292,0.90763844,0.90763844,0.907770297,0.570012129,0.913942708,0.913942708,0.914041876
36,0.284138894,0.911615732,0.911615732,0.911723727,0.490116691,0.920242482,0.920242482,0.920321314
37,0.276543608,0.91202366,0.91202366,0.912120321,0.905106902,0.904671342,0.904671342,0.904131359
38,0.265664965,0.916374885,0.916374885,0.916515252,0.560559554,0.927730893,0.927730893,0.927859915
39,0.254089683,0.920828093,0.920828093,0.920942647,0.548946192,0.923451801,0.923451801,0.923302642
40,0.257112156,0.918686474,0.918686474,0.918788217,0.762084711,0.913823844,0.913823844,0.914351901
41,0.244128215,0.921847911,0.921847911,0.921930026,0.501788437,0.906929752,0.906929752,0.908157446
42,0.23076871,0.927558895,0.927558895,0.927633365,0.747763917,0.914061571,0.914061571,0.915334782
43,0.228452969,0.928170786,0.928170786,0.928244888,1.093860852,0.905384524,0.905384524,0.906486972
44,0.223390975,0.928170786,0.928170786,0.928228144,0.803334214,0.923689528,0.923689528,0.924354956
45,0.215266373,0.930346398,0.930346398,0.930419588,0.890625772,0.928325211,0.928325211,0.928799446
46,0.211965841,0.933235884,0.933235884,0.933284837,0.697544399,0.92666112,0.92666112,0.926668611
47,0.209309898,0.932861951,0.932861951,0.932924469,0.86723183,0.912278616,0.912278616,0.913379329
48,0.198855188,0.93578543,0.93578543,0.935835601,0.40263468,0.932960894,0.932960894,0.932507861
49,0.196042777,0.93741714,0.93741714,0.937452957,0.49235219,0.92440271,0.92440271,0.924560069
50,0.193823796,0.937689091,0.937689091,0.937747676,0.576628939,0.927493165,0.927493165,0.927660491
